indexx,position,start_time_in_video_in_sec,duration_in_video_in_sec,post_id,post_code,user_pk,user_pk_id,user_username,user_full_name,user_is_private,user_is_verified,user_profile_pic_id,user_profile_pic_url
1,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,2606101250,2606101250,soltan_saeedkarimi,سلطان سعید کریمی,0,0,3046675597975841677_2606101250,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/332811324_743908504124618_6715320383824125426_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=fLs0XfApNjIAX9bU8F4&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBvHwVoSXsoA35GSrvoHMgPpior6YF95ptwhgcfthV3wg&oe=64C327F0&_nc_sid=472314
2,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,4639107029,4639107029,mahali_nab_officiall,#محلی ناب/محلی_ناب/محلی قدیمی/محلی جدید,0,0,2939344241374458092_4639107029,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/309870195_127519050061961_6336477289378010291_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=op-JWENCcQ4AX-J-kLS&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfDz93UbLKS_Y0Gp8eK1eMYxA0J0PbiXEdj6s71yvH7oJw&oe=64C23908&_nc_sid=472314
3,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,6225246660,6225246660,sajad_farhadi_music,سجادفرهادی اورجینال official🎤🎤,0,0,2202316297333609999_6225246660,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/75430272_572213746943537_8097469772075106304_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=LHoRgLQDT_oAX8oiEyC&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfD_wnV-e8LTEZgWzrcEzha11Urj0ekSW5ylnMvBkDKBeA&oe=64C28C46&_nc_sid=472314
4,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,19730237121,19730237121,sajad_gholamy20,سجاد غلامی,0,0,2137279415994591747_19730237121,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/69686757_365612801050399_5137853760256606208_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=em6Ri2GReCIAX9eiM3t&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBJ9C46yjxQVVZokn2VTCmxTziMrMzaJrUjtnWN0DFsfw&oe=64C34862&_nc_sid=472314
5,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,27034172013,27034172013,sajadgolestani7,👑سجاد گلستانی👑,0,0,2842843706236905466_27034172013,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/283114851_1048758479053835_165543471382444670_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=jdkZguO0ONUAX_Q8p89&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfDy-rWj7M6CUb0axzYCtPMMmUY5V23h8ChYohBQqKW5XA&oe=64C341DD&_nc_sid=472314
6,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,28101141016,28101141016,mohammad00taha,زخم خنجر دوست🔪🔪Love You,0,0,2687481628887191211_28101141016,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/246174342_1015247509048551_8932788158576377229_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=_OTN_4xbBEEAX_ru0TV&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfATwpHz5w8y2VgB1fTv_YSxQ7_XKiWxx6TC9g7c3nW1ZQ&oe=64C323B4&_nc_sid=472314
7,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,34927080070,34927080070,music32mahali,موزیک محلی,0,0,2304724337537943351_34927080070,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/96023914_1299865273538302_226633003164499968_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=OXf_aHJGNw0AX8NThQc&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfAxCZJYHeeacrXGvQcDlUTsAQNimNFDm2kTo9QiefxL8w&oe=64C1B94E&_nc_sid=472314
8,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,39324970337,39324970337,music32mahali0,موزیک محلی,0,0,2733222305402795463_39324970337,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/269673847_1294408467653789_8560183935973511277_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=bXCoH-a4VQsAX-474NR&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfA36nQkDPEoiVUy_w41Y3UA-RbUBG2qaX65sM1lcrikKQ&oe=64C2A3A9&_nc_sid=472314
9,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,44430300067,44430300067,music.mahaliii,sardar_dalmand.fun,0,0,2843265963413257681_44430300067,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/282750137_1212180046273819_6305480561229261427_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=HkA32H4UV1gAX9Bkbwf&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBAFl4i3HmiJAOGJh38Y3h8UvbsthYzVDF70DBUKfLWJQ&oe=64C28AA5&_nc_sid=472314
10,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,47238695511,47238695511,hadi_abbasi_music,هادی عباسى|hadi abbasi,0,0,3133710842528611603_47238695511,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/356024668_817830333303197_2330964961003525234_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=KERECC3yY2gAX_EecT0&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfB1LdNyr_q4jivhRsGWU4HHS2pmQs8BMQ-KNgvBBDEDoA&oe=64C2AEFE&_nc_sid=472314
11,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,47911134257,47911134257,yaser_mahali,Yaser Roozegar,0,0,2875421919626477584_47911134257,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/291841189_105560245500675_5103378843477169608_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=GCVJa5I-se4AX9uCJpl&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfD2me938lLRCOX_5p3xORAtJ9wrj0vmVF7HvNINHI9c4g&oe=64C1BC2E&_nc_sid=472314
